in_or_out,name,link,security_constraints,spatial_extent,spatial_resolution,temporal_extent,temporal_resolution,code(?)
in,USGS Gap Analysis Project - Additional Data - National Gap Land Cover Ver1.0 (2001),https://www.sciencebase.gov/catalog/item/5540e2d7e4b0a658d79395db,,conterminous U.S.,30 x 30 m,2001,,
in,U.S. Geological Survey - Gap Analysis Project Species Habitat Maps,https://www.sciencebase.gov/catalog/item/527d0a83e4b0850ea0518326,,conterminous U.S.,30 x 30 m,2001,,
in,Protected Areas Database of the United States (PAD-US),P:/Proj3/USGap/Analysis/Data/PAD14s2001.tif,,conterminous U.S.,30 x 30 m,2001,,
in,Amphibian species richness,T:/SE_Woody_Wetlands/Data/Amphibian_Richness.tif,,conterminous U.S.,30 x 30 m,2001,,
in,Bird species richness - summer,T:/SE_Woody_Wetlands/Data/Bird_Summer_Richness.tif,,conterminous U.S.,30 x 30 m,2001,,
in,Bird species richness - winter,T:/SE_Woody_Wetlands/Data/Bird_Winter_Richness.tif,,conterminous U.S.,30 x 30 m,2001,,
in,Reptile species richness,T:/SE_Woody_Wetlands/Data/Reptile_Richness.tif,,conterminous U.S.,30 x 30 m,2001,,
in,All species richness,T:/SE_Woody_Wetlands/Data/All_Richness.tif,,conterminous U.S.,30 x 30 m,2001,,
in,Mammal species richness,T:/SE_Woody_Wetlands/Data/Mammal_Richness.tif,,conterminous U.S.,30 x 30 m,2001,,
in,Study Region,T:/SE_Woody_Wetlands/Data/Study_Region.shp,,"-287767.1960000002873130,272048.4957000017166138 : 1833426.5782000012695789,2111111.4235999993979931",polygons,,,
in,USGS Gap Analysis Project - Additional Data – Hydrologic Unit Codes [HUCs],https://www.sciencebase.gov/catalog/item/56d496eee4b015c306f17a42,,conterminous U.S.,polygons,2011,,
in,List of southeastern woody wetland ecological systems,T:/SE_Woody_Wetlands/Data/Ecological systems of interest.csv,,aspatial,aspatial,2001-2018,,DevelopSEWW-MUList.py; DevelopSEWW-MUList.ipynb?
out,Southeastern woody wetland ecological systems map,T:\SE_Woody_Wetlands\Results\SEWW.tif,,conterminous U.S.,30 x 30 m,2001,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/MapSEWW.py
out,Study region species list,T:/SE_Woody_Wetlands/Results/Study Region Species List.csv,,aspatial,aspatial,2001,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/GetStudyRegionSpeciesList.py
out,Species list for southeastern woody wetlands,T:/SE_Woody_Wetlands/Results/studyRegionList.pkl,,aspatial,aspatial,2001,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/GetStudyRegionSpeciesList.py
out,Table of proportion of habitat in SEWW for all species in study area,T:/SE_Woody_Wetlands/Results/Species that use SEWW systems.csv,,aspatial,aspatial,2001,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/CalculatePercentHabitatInSEWW.py
out,Table of top SEWW species - winter,T:/SE_Woody_Wetlands/Results/TopWinterSpecies.csv,,aspatial,aspatial,2001,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/SummarizeOverlap.py
out,Table of top SEWW species - summer,T:/SE_Woody_Wetlands/Results/TopSummerSpecies.csv,,aspatial,aspatial,2001,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/SummarizeOverlap.py
out,Top summer SEWW species richness map,T:\SE_Woody_Wetlands\Results\Top_Summer\Top_Summer_Richness.tif,,conterminous U.S.,30 x 30 m,2001,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/MapSEWWSpeciesRichness.py
out,Top winter SEWW species richness map,T:\SE_Woody_Wetlands\Results\Top_Winter\Top_Winter_Richness.tif,,conterminous U.S.,30 x 30 m,2001,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/MapSEWWSpeciesRichness.py
out,Protection of SEWW ecological systems,T:/SE_Woody_Wetlands/Results/EcolSysProtection.csv,,aspatial,aspatial,2001 | 2011,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/AssessProtection.py
out,Protection of summer top SEWW species,T:/SE_Woody_Wetlands/Results/Summer protection.csv,,aspatial,aspatial,2002 | 2011,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/AssessProtection.py
out,Protection of winter top SEWW species,T:/SE_Woody_Wetlands/Results/Winter protection.csv,,aspatial,aspatial,2003 | 2011,,https://github.com/nmtarr/SEWoodyWetlandAnalysis/blob/master/AssessProtection.py
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
